회사명,종목코드,시장구분,업종
세기상사,002420,KOSPI,
한화투자증권우,003535,KOSPI,
진양폴리,010640,KOSPI,
솔루스첨단소재1우,33637K,KOSPI,
코오롱우,002025,KOSPI,
세방우,004365,KOSPI,
신풍제약우,019175,KOSPI,
진도,088790,KOSPI,
원림,005820,KOSPI,
블루산업개발,006740,KOSPI,
두산퓨얼셀2우B,33626L,KOSPI,
플레이그램,009810,KOSPI,
대한방직,001070,KOSPI,
KR모터스,000040,KOSPI,
메타랩스,090370,KOSPI,
메타케어,118000,KOSPI,
동일제강,002690,KOSPI,
대림통상,006570,KOSPI,
WISCOM,024070,KOSPI,
한성기업,003680,KOSPI,
한익스프레스,014130,KOSPI,
한세엠케이,069640,KOSPI,
SUN&L,002820,KOSPI,
MH에탄올,023150,KOSPI,
유니드비티플러스,446070,KOSPI,
모나미,005360,KOSPI,
동원수산,030720,KOSPI,
한국전자홀딩스,006200,KOSPI,
우진아이엔에스,010400,KOSPI,
한창제지,009460,KOSPI,
에이엔피,015260,KOSPI,
넥센타이어1우B,002355,KOSPI,
한창,005110,KOSPI,
핸즈코퍼레이션,143210,KOSPI,
호텔신라우,008775,KOSPI,
마스턴프리미어리츠,357430,KOSPI,
남성,004270,KOSPI,
대한항공우,003495,KOSPI,
체시스,033250,KOSPI,
STX그린로지스,465770,KOSPI,
녹십자홀딩스2우,005257,KOSPI,
참엔지니어링,009310,KOSPI,
에넥스,011090,KOSPI,
대상우,001685,KOSPI,
비비안,002070,KOSPI,
롯데지주우,00499K,KOSPI,
태원물산,001420,KOSPI,
주연테크,044380,KOSPI,
한국주강,025890,KOSPI,
아센디오,012170,KOSPI,
이스타코,015020,KOSPI,
한화갤러리아우,45226K,KOSPI,
코아스,071950,KOSPI,
SHD,001770,KOSPI,
대교우B,019685,KOSPI,
윌비스,008600,KOSPI,
KC그린홀딩스,009440,KOSPI,
LX하우시스우,108675,KOSPI,
넥센우,005725,KOSPI,
JK리버스톤리츠,204210,KOSPI,
한진칼우,18064K,KOSPI,
하이트진로2우B,000087,KOSPI,
대덕1우,00806K,KOSPI,
대한제당우,001795,KOSPI,
계양전기우,012205,KOSPI,
코리아써키트2우B,00781K,KOSPI,
에이리츠,140910,KOSPI,
SK증권우,001515,KOSPI,
한양증권우,001755,KOSPI,
일정실업,008500,KOSPI,
NPC우,004255,KOSPI,
LX홀딩스1우,38380K,KOSPI,
태양금속우,004105,KOSPI,
삼양사우,145995,KOSPI,
대상홀딩스우,084695,KOSPI,
솔루스첨단소재2우B,33637L,KOSPI,
JW중외제약2우B,001067,KOSPI,
코오롱글로벌우,003075,KOSPI,
다이나믹디자인,145210,KOSPI,
유유제약1우,000225,KOSPI,
덕성우,004835,KOSPI,
JW중외제약우,001065,KOSPI,
성신양회우,004985,KOSPI,
크라운제과우,26490K,KOSPI,
노루홀딩스우,000325,KOSPI,
노루페인트우,090355,KOSPI,
하이트진로홀딩스우,000145,KOSPI,
흥국화재우,000545,KOSPI,
태영건설우,009415,KOSPI,
티와이홀딩스우,36328K,KOSPI,
크라운해태홀딩스우,005745,KOSPI,
동원시스템즈우,014825,KOSPI,
금호건설우,002995,KOSPI,
금강공업우,014285,KOSPI,
일양약품우,007575,KOSPI,
동부건설우,005965,KOSPI,
남선알미우,008355,KOSPI,
성문전자우,014915,KOSPI,
깨끗한나라우,004545,KOSPI,
유유제약2우B,000227,KOSPI,
동양우,001525,KOSPI,
서울식품우,004415,KOSPI,
CJ씨푸드1우,011155,KOSPI,
진흥기업2우B,002787,KOSPI,
진흥기업우B,002785,KOSPI,
동양2우B,001527,KOSPI,
알테오젠,196170,KOSDAQ,우량기업부
에코프로비엠,247540,KOSDAQ,중견기업부
에코프로,086520,KOSDAQ,중견기업부
레인보우로보틱스,277810,KOSDAQ,기술성장기업부
코오롱티슈진,950160,KOSDAQ,외국기업(소속부없음)
주성엔지니어링,036930,KOSDAQ,우량기업부
삼천당제약,000250,KOSDAQ,중견기업부
리노공업,058470,KOSDAQ,우량기업부
HLB,028300,KOSDAQ,중견기업부
에이비엘바이오,298380,KOSDAQ,기술성장기업부
이오테크닉스,039030,KOSDAQ,우량기업부
파두,440110,KOSDAQ,기술성장기업부
원익IPS,240810,KOSDAQ,우량기업부
펩트론,087010,KOSDAQ,기술성장기업부
리가켐바이오,141080,KOSDAQ,기술성장기업부
케어젠,214370,KOSDAQ,벤처기업부
보로노이,310210,KOSDAQ,기술성장기업부
서진시스템,178320,KOSDAQ,중견기업부
ISC,095340,KOSDAQ,우량기업부
HPSP,403870,KOSDAQ,우량기업부
심텍,222800,KOSDAQ,중견기업부
로보티즈,108490,KOSDAQ,기술성장기업부
현대무벡스,319400,KOSDAQ,우량기업부
대한광통신,010170,KOSDAQ,중견기업부
제주반도체,080220,KOSDAQ,우량기업부
두산테스나,131970,KOSDAQ,우량기업부
하나마이크론,067310,KOSDAQ,중견기업부
휴젤,145020,KOSDAQ,우량기업부
티씨케이,064760,KOSDAQ,우량기업부
피에스케이,319660,KOSDAQ,우량기업부
파마리서치,214450,KOSDAQ,우량기업부
솔브레인,357780,KOSDAQ,우량기업부
클래시스,214150,KOSDAQ,우량기업부
올릭스,226950,KOSDAQ,기술성장기업부
펄어비스,263750,KOSDAQ,우량기업부
미래에셋벤처투자,100790,KOSDAQ,우량기업부
동진쎄미켐,005290,KOSDAQ,우량기업부
유진테크,084370,KOSDAQ,우량기업부
성호전자,043260,KOSDAQ,우량기업부
우리기술,032820,KOSDAQ,벤처기업부
피에스케이홀딩스,031980,KOSDAQ,우량기업부
티에스이,131290,KOSDAQ,우량기업부
에스티팜,237690,KOSDAQ,우량기업부
디앤디파마텍,347850,KOSDAQ,기술성장기업부
실리콘투,257720,KOSDAQ,우량기업부
비츠로셀,082920,KOSDAQ,우량기업부
RFHIC,218410,KOSDAQ,우량기업부
고영,098460,KOSDAQ,우량기업부
비에이치아이,083650,KOSDAQ,우량기업부
에스피지,058610,KOSDAQ,우량기업부
테스,095610,KOSDAQ,우량기업부
에임드바이오,0009K0,KOSDAQ,기술성장기업부
메지온,140410,KOSDAQ,투자주의환기종목(소속부없음)
대주전자재료,078600,KOSDAQ,우량기업부
JYP Ent.,035900,KOSDAQ,우량기업부
셀트리온제약,068760,KOSDAQ,우량기업부
스피어,347700,KOSDAQ,기술성장기업부
에스엠,041510,KOSDAQ,우량기업부
원익홀딩스,030530,KOSDAQ,중견기업부
태성,323280,KOSDAQ,중견기업부
아주IB투자,027360,KOSDAQ,중견기업부
코스모로보틱스,439960,KOSDAQ,기술성장기업부
테크윙,089030,KOSDAQ,중견기업부
알지노믹스,476830,KOSDAQ,기술성장기업부
파크시스템스,140860,KOSDAQ,우량기업부
LS마린솔루션,060370,KOSDAQ,우량기업부
엘앤씨바이오,290650,KOSDAQ,우량기업부
삼현,437730,KOSDAQ,기술성장기업부
리브스메드,491000,KOSDAQ,기술성장기업부
에스앤에스텍,101490,KOSDAQ,우량기업부
씨젠,096530,KOSDAQ,우량기업부
코미코,183300,KOSDAQ,우량기업부
기가비스,420770,KOSDAQ,우량기업부
쎄트렉아이,099320,KOSDAQ,우량기업부
오스코텍,039200,KOSDAQ,벤처기업부
오름테라퓨틱,475830,KOSDAQ,기술성장기업부
에스에이엠티,031330,KOSDAQ,우량기업부
인텔리안테크,189300,KOSDAQ,우량기업부
큐리옥스바이오시스템즈,445680,KOSDAQ,기술성장기업부
와이씨,232140,KOSDAQ,우량기업부
하나머티리얼즈,166090,KOSDAQ,우량기업부
LS머트리얼즈,417200,KOSDAQ,중견기업부
씨어스,458870,KOSDAQ,기술성장기업부
삼표시멘트,038500,KOSDAQ,우량기업부
하림지주,003380,KOSDAQ,우량기업부
브이엠,089970,KOSDAQ,우량기업부
휴림로봇,090710,KOSDAQ,중견기업부
SFA반도체,036540,KOSDAQ,중견기업부
케이엠더블유,032500,KOSDAQ,중견기업부
제이에스링크,127120,KOSDAQ,벤처기업부
차바이오텍,085660,KOSDAQ,중견기업부
HK이노엔,195940,KOSDAQ,우량기업부
신성델타테크,065350,KOSDAQ,우량기업부
에이프릴바이오,397030,KOSDAQ,기술성장기업부
세미파이브,490470,KOSDAQ,기술성장기업부
제이앤티씨,204270,KOSDAQ,중견기업부
레이크머티리얼즈,281740,KOSDAQ,우량기업부
네이처셀,007390,KOSDAQ,중견기업부
에이치브이엠,295310,KOSDAQ,기술성장기업부
씨엠티엑스,388210,KOSDAQ,벤처기업부
마키나락스,477850,KOSDAQ,기술성장기업부
필옵틱스,161580,KOSDAQ,중견기업부
하이젠알앤엠,160190,KOSDAQ,투자주의환기종목(소속부없음)
덕산네오룩스,213420,KOSDAQ,우량기업부
솔브레인홀딩스,036830,KOSDAQ,우량기업부
유일로보틱스,388720,KOSDAQ,벤처기업부
비나텍,126340,KOSDAQ,벤처기업부
현대바이오,048410,KOSDAQ,중견기업부
피노,033790,KOSDAQ,중견기업부
에스티큐브,052020,KOSDAQ,투자주의환기종목(소속부없음)
에스에프에이,056190,KOSDAQ,우량기업부
피엔티,137400,KOSDAQ,우량기업부
아이티센글로벌,124500,KOSDAQ,우량기업부
GST,083450,KOSDAQ,우량기업부
제룡전기,033100,KOSDAQ,우량기업부
클로봇,466100,KOSDAQ,기술성장기업부
큐리언트,115180,KOSDAQ,벤처기업부
지투지바이오,456160,KOSDAQ,기술성장기업부
로킷헬스케어,376900,KOSDAQ,기술성장기업부
씨아이에스,222080,KOSDAQ,우량기업부
동국제약,086450,KOSDAQ,우량기업부
원익QnC,074600,KOSDAQ,우량기업부
티엘비,356860,KOSDAQ,우량기업부
태광,023160,KOSDAQ,우량기업부
동운아나텍,094170,KOSDAQ,우량기업부
CJ ENM,035760,KOSDAQ,중견기업부
쏠리드,050890,KOSDAQ,우량기업부
카카오게임즈,293490,KOSDAQ,중견기업부
코나아이,052400,KOSDAQ,우량기업부
성광벤드,014620,KOSDAQ,우량기업부
와이지엔터테인먼트,122870,KOSDAQ,우량기업부
온코닉테라퓨틱스,476060,KOSDAQ,기술성장기업부
서울반도체,046890,KOSDAQ,중견기업부
스튜디오드래곤,253450,KOSDAQ,우량기업부
유진로봇,056080,KOSDAQ,중견기업부
RF머트리얼즈,327260,KOSDAQ,벤처기업부
프로텍,053610,KOSDAQ,우량기업부
나노신소재,121600,KOSDAQ,우량기업부
다우데이타,032190,KOSDAQ,우량기업부
코스메카코리아,241710,KOSDAQ,우량기업부
삼지전자,037460,KOSDAQ,우량기업부
서부T&D,006730,KOSDAQ,우량기업부
선익시스템,171090,KOSDAQ,우량기업부
젬백스,082270,KOSDAQ,벤처기업부
성일하이텍,365340,KOSDAQ,기술성장기업부
태웅,044490,KOSDAQ,우량기업부
덕산하이메탈,077360,KOSDAQ,벤처기업부
넥슨게임즈,225570,KOSDAQ,중견기업부
에프에스티,036810,KOSDAQ,중견기업부
티에프이,425420,KOSDAQ,우량기업부
앱클론,174900,KOSDAQ,벤처기업부
엔켐,348370,KOSDAQ,중견기업부
샘씨엔에스,252990,KOSDAQ,우량기업부
메디톡스,086900,KOSDAQ,우량기업부
엠케이전자,033160,KOSDAQ,중견기업부
뉴로메카,348340,KOSDAQ,기술성장기업부
서울바이오시스,092190,KOSDAQ,투자주의환기종목(소속부없음)
로보스타,090360,KOSDAQ,중견기업부
와이지-원,019210,KOSDAQ,우량기업부
네패스,033640,KOSDAQ,중견기업부
포스코엠텍,009520,KOSDAQ,중견기업부
코오롱생명과학,102940,KOSDAQ,중견기업부
NHN KCP,060250,KOSDAQ,우량기업부
지아이이노베이션,358570,KOSDAQ,기술성장기업부
위메이드,112040,KOSDAQ,중견기업부
안랩,053800,KOSDAQ,우량기업부
원텍,336570,KOSDAQ,우량기업부
가온칩스,399720,KOSDAQ,벤처기업부
동성화인텍,033500,KOSDAQ,우량기업부
인벤티지랩,389470,KOSDAQ,기술성장기업부
툴젠,199800,KOSDAQ,기술성장기업부
미코,059090,KOSDAQ,벤처기업부
코세스,089890,KOSDAQ,우량기업부
이엔에프테크놀로지,102710,KOSDAQ,우량기업부
루닛,328130,KOSDAQ,기술성장기업부
네오셈,253590,KOSDAQ,우량기업부
파이버프로,368770,KOSDAQ,벤처기업부
넥스틴,348210,KOSDAQ,우량기업부
디어유,376300,KOSDAQ,우량기업부
한선엔지니어링,452280,KOSDAQ,우량기업부
켐트로닉스,089010,KOSDAQ,우량기업부
이녹스첨단소재,272290,KOSDAQ,우량기업부
현대힘스,460930,KOSDAQ,우량기업부
성우하이텍,015750,KOSDAQ,우량기업부
아이쓰리시스템,214430,KOSDAQ,우량기업부
채비,0011T0,KOSDAQ,기술성장기업부
인바디,041830,KOSDAQ,우량기업부
토모큐브,475960,KOSDAQ,기술성장기업부
SOOP,067160,KOSDAQ,우량기업부
HLB이노베이션,024850,KOSDAQ,중견기업부
노타,486990,KOSDAQ,기술성장기업부
코미팜,041960,KOSDAQ,벤처기업부
천보,278280,KOSDAQ,중견기업부
원익머트리얼즈,104830,KOSDAQ,우량기업부
메디포스트,078160,KOSDAQ,벤처기업부
케이아이엔엑스,093320,KOSDAQ,우량기업부
에코프로에이치엔,383310,KOSDAQ,우량기업부
알멕,354320,KOSDAQ,기술성장기업부
티이엠씨,425040,KOSDAQ,우량기업부
큐로셀,372320,KOSDAQ,기술성장기업부
예스티,122640,KOSDAQ,벤처기업부
에이디테크놀로지,200710,KOSDAQ,중견기업부
아이엠바이오로직스,493280,KOSDAQ,기술성장기업부
아난티,025980,KOSDAQ,우량기업부
PS일렉트로닉스,332570,KOSDAQ,우량기업부
인화정공,101930,KOSDAQ,우량기업부
카페24,042000,KOSDAQ,우량기업부
큐렉소,060280,KOSDAQ,중견기업부
한양이엔지,045100,KOSDAQ,우량기업부
아이센스,099190,KOSDAQ,중견기업부
한양디지텍,078350,KOSDAQ,우량기업부
더블유씨피,393890,KOSDAQ,기술성장기업부
빛과전자,069540,KOSDAQ,벤처기업부
티앤엘,340570,KOSDAQ,우량기업부
보성파워텍,006910,KOSDAQ,우량기업부
인카금융서비스,211050,KOSDAQ,우량기업부
에스비비테크,389500,KOSDAQ,기술성장기업부
에코마케팅,230360,KOSDAQ,우량기업부
디케이티,290550,KOSDAQ,우량기업부
브이티,018290,KOSDAQ,우량기업부
한라캐스트,125490,KOSDAQ,벤처기업부
우리기술투자,041190,KOSDAQ,우량기업부
한국피아이엠,448900,KOSDAQ,기술성장기업부
한국기업평가,034950,KOSDAQ,우량기업부
엑스게이트,356680,KOSDAQ,벤처기업부
감성코퍼레이션,036620,KOSDAQ,우량기업부
서희건설,035890,KOSDAQ,중견기업부
네패스아크,330860,KOSDAQ,중견기업부
다날,064260,KOSDAQ,중견기업부
프로티나,468530,KOSDAQ,기술성장기업부
디아이티,110990,KOSDAQ,우량기업부
오이솔루션,138080,KOSDAQ,벤처기업부
펌텍코리아,251970,KOSDAQ,우량기업부
미래반도체,254490,KOSDAQ,우량기업부
엘티씨,170920,KOSDAQ,벤처기업부
한글과컴퓨터,030520,KOSDAQ,우량기업부
하이록코리아,013030,KOSDAQ,우량기업부
비츠로넥스텍,488900,KOSDAQ,기술성장기업부
인투셀,287840,KOSDAQ,기술성장기업부
시노펙스,025320,KOSDAQ,우량기업부
오킨스전자,080580,KOSDAQ,벤처기업부
펨트론,168360,KOSDAQ,벤처기업부
메가스터디교육,215200,KOSDAQ,우량기업부
에스티아이,039440,KOSDAQ,우량기업부
국일제지,078130,KOSDAQ,중견기업부
동화기업,025900,KOSDAQ,중견기업부
페니트리움바이오,187660,KOSDAQ,중견기업부
네오위즈,095660,KOSDAQ,우량기업부
휴온스,243070,KOSDAQ,우량기업부
한중엔시에스,107640,KOSDAQ,기술성장기업부
가비아,079940,KOSDAQ,우량기업부
HLB제약,047920,KOSDAQ,기술성장기업부
월덱스,101160,KOSDAQ,우량기업부
유티아이,179900,KOSDAQ,투자주의환기종목(소속부없음)
삼양엔씨켐,482630,KOSDAQ,중견기업부
HEM파마,376270,KOSDAQ,기술성장기업부
덕산테코피아,317330,KOSDAQ,중견기업부
한솔아이원스,114810,KOSDAQ,우량기업부
뉴파워프라즈마,144960,KOSDAQ,우량기업부
한스바이오메드,042520,KOSDAQ,벤처기업부
휴온스글로벌,084110,KOSDAQ,우량기업부
지엔씨에너지,119850,KOSDAQ,우량기업부
HLB생명과학,067630,KOSDAQ,투자주의환기종목(소속부없음)
신라젠,215600,KOSDAQ,중견기업부
에치에프알,230240,KOSDAQ,중견기업부
저스템,417840,KOSDAQ,벤처기업부
제우스,079370,KOSDAQ,우량기업부
오픈엣지테크놀로지,394280,KOSDAQ,기술성장기업부
이뮨온시아,424870,KOSDAQ,기술성장기업부
파인엠텍,441270,KOSDAQ,벤처기업부
유바이오로직스,206650,KOSDAQ,우량기업부
삼양컴텍,484590,KOSDAQ,벤처기업부
넥스트바이오메디컬,389650,KOSDAQ,기술성장기업부
한텍,098070,KOSDAQ,중견기업부
티로보틱스,117730,KOSDAQ,벤처기업부
엑시콘,092870,KOSDAQ,우량기업부
엔젤로보틱스,455900,KOSDAQ,기술성장기업부
타이거일렉,219130,KOSDAQ,벤처기업부
헥토파이낸셜,234340,KOSDAQ,우량기업부
메카로,241770,KOSDAQ,우량기업부
사피엔반도체,452430,KOSDAQ,기술성장기업부
LS증권,078020,KOSDAQ,우량기업부
AP시스템,265520,KOSDAQ,우량기업부
우리로,046970,KOSDAQ,벤처기업부
글로벌텍스프리,204620,KOSDAQ,우량기업부
네오티스,085910,KOSDAQ,중견기업부
진성티이씨,036890,KOSDAQ,우량기업부
위메이드맥스,101730,KOSDAQ,중견기업부
케이프,064820,KOSDAQ,우량기업부
우주일렉트로,065680,KOSDAQ,우량기업부
비츠로테크,042370,KOSDAQ,우량기업부
에이스침대,003800,KOSDAQ,우량기업부
퓨쳐켐,220100,KOSDAQ,기술성장기업부
코스텍시스,355150,KOSDAQ,벤처기업부
싸이맥스,160980,KOSDAQ,우량기업부
덕양에너젠,0001A0,KOSDAQ,중견기업부
아스테라시스,450950,KOSDAQ,벤처기업부
에스바이오메딕스,304360,KOSDAQ,벤처기업부
파트론,091700,KOSDAQ,우량기업부
상아프론테크,089980,KOSDAQ,우량기업부
이지홀딩스,035810,KOSDAQ,우량기업부
한국정보통신,025770,KOSDAQ,우량기업부
에이치엠넥스,036170,KOSDAQ,중견기업부
컴투스,078340,KOSDAQ,중견기업부
한라IMS,092460,KOSDAQ,우량기업부
칩스앤미디어,094360,KOSDAQ,벤처기업부
지노믹트리,228760,KOSDAQ,기술성장기업부
콜마비앤에이치,200130,KOSDAQ,우량기업부
카나프테라퓨틱스,0082N0,KOSDAQ,기술성장기업부
에코아이,448280,KOSDAQ,중견기업부
켄코아에어로스페이스,274090,KOSDAQ,기술성장기업부
슈어소프트테크,298830,KOSDAQ,우량기업부
유니테스트,086390,KOSDAQ,중견기업부
DSC인베스트먼트,241520,KOSDAQ,중견기업부
웹젠,069080,KOSDAQ,우량기업부
HB테크놀러지,078150,KOSDAQ,우량기업부
셀비온,308430,KOSDAQ,기술성장기업부
필에너지,378340,KOSDAQ,중견기업부
에이직랜드,445090,KOSDAQ,벤처기업부
휴메딕스,200670,KOSDAQ,우량기업부
에이팩트,200470,KOSDAQ,중견기업부
헬릭스미스,084990,KOSDAQ,기술성장기업부
노바렉스,194700,KOSDAQ,우량기업부
DXVX,180400,KOSDAQ,관리종목(소속부없음)
인탑스,049070,KOSDAQ,우량기업부
삼목에스폼,018310,KOSDAQ,우량기업부
나우로보틱스,459510,KOSDAQ,기술성장기업부
바이오플러스,099430,KOSDAQ,우량기업부
아이씨티케이,456010,KOSDAQ,기술성장기업부
하림,136480,KOSDAQ,우량기업부
이랜텍,054210,KOSDAQ,우량기업부
드림시큐리티,203650,KOSDAQ,중견기업부
에스엔시스,0008Z0,KOSDAQ,벤처기업부
아이티엠반도체,084850,KOSDAQ,중견기업부
지씨셀,144510,KOSDAQ,중견기업부
LB세미콘,061970,KOSDAQ,중견기업부
유니셈,036200,KOSDAQ,우량기업부
인텍플러스,064290,KOSDAQ,중견기업부
LIG아큐버,073490,KOSDAQ,우량기업부
씨메스로보틱스,475400,KOSDAQ,기술성장기업부
대명에너지,389260,KOSDAQ,우량기업부
안트로젠,065660,KOSDAQ,기술성장기업부
모베이스전자,012860,KOSDAQ,우량기업부
슈프리마,236200,KOSDAQ,우량기업부
메디아나,041920,KOSDAQ,우량기업부
이노스페이스,462350,KOSDAQ,기술성장기업부
나라스페이스테크놀로지,478340,KOSDAQ,기술성장기업부
큐리오시스,494120,KOSDAQ,기술성장기업부
오르비텍,046120,KOSDAQ,중견기업부
강원에너지,114190,KOSDAQ,중견기업부
제이오,418550,KOSDAQ,기술성장기업부
그래피,318060,KOSDAQ,기술성장기업부
바이넥스,053030,KOSDAQ,중견기업부
리센스메디컬,394420,KOSDAQ,기술성장기업부
쓰리빌리언,394800,KOSDAQ,기술성장기업부
바텍,043150,KOSDAQ,우량기업부
제일일렉트릭,199820,KOSDAQ,우량기업부
네오팜,092730,KOSDAQ,우량기업부
신흥에스이씨,243840,KOSDAQ,우량기업부
오리엔탈정공,014940,KOSDAQ,우량기업부
바이오다인,314930,KOSDAQ,기술성장기업부
큐라클,365270,KOSDAQ,기술성장기업부
CJ프레시웨이,051500,KOSDAQ,우량기업부
KG에코솔루션,151860,KOSDAQ,우량기업부
와이씨켐,112290,KOSDAQ,기술성장기업부
에이스테크,088800,KOSDAQ,중견기업부
에프앤가이드,064850,KOSDAQ,벤처기업부
강스템바이오텍,217730,KOSDAQ,기술성장기업부
상신이디피,091580,KOSDAQ,우량기업부
유진기업,023410,KOSDAQ,중견기업부
골프존,215000,KOSDAQ,우량기업부
링크솔루션,474650,KOSDAQ,기술성장기업부
와이바이오로직스,338840,KOSDAQ,기술성장기업부
나이스정보통신,036800,KOSDAQ,우량기업부
매커스,093520,KOSDAQ,우량기업부
씨앤씨인터내셔널,352480,KOSDAQ,우량기업부
마이크로컨텍솔,098120,KOSDAQ,우량기업부
KG이니시스,035600,KOSDAQ,우량기업부
셀바스AI,108860,KOSDAQ,벤처기업부
컨텍,451760,KOSDAQ,기술성장기업부
엠로,058970,KOSDAQ,기술성장기업부
제이브이엠,054950,KOSDAQ,우량기업부
자람테크놀로지,389020,KOSDAQ,기술성장기업부
라온텍,418420,KOSDAQ,기술성장기업부
토비스,051360,KOSDAQ,우량기업부
KH바텍,060720,KOSDAQ,중견기업부
폰드그룹,472850,KOSDAQ,중견기업부
티움바이오,321550,KOSDAQ,기술성장기업부
재영솔루텍,049630,KOSDAQ,우량기업부
그린광학,0015G0,KOSDAQ,기술성장기업부
아이티켐,309710,KOSDAQ,관리종목(소속부없음)
지앤비에스 에코,382800,KOSDAQ,우량기업부
마녀공장,439090,KOSDAQ,우량기업부
아스트,067390,KOSDAQ,중견기업부
엔케이젠바이오텍코리아,182400,KOSDAQ,관리종목(소속부없음)
한국캐피탈,023760,KOSDAQ,우량기업부
뷰웍스,100120,KOSDAQ,우량기업부
신성에스티,416180,KOSDAQ,벤처기업부
매일유업,267980,KOSDAQ,우량기업부
케이엔제이,272110,KOSDAQ,우량기업부
그린리소스,402490,KOSDAQ,기술성장기업부
티씨머티리얼즈,125020,KOSDAQ,중견기업부
피에이치에이,043370,KOSDAQ,우량기업부
바이오니아,064550,KOSDAQ,중견기업부
갤럭시아머니트리,094480,KOSDAQ,우량기업부
HLB테라퓨틱스,115450,KOSDAQ,중견기업부
미래나노텍,095500,KOSDAQ,우량기업부
아모텍,052710,KOSDAQ,중견기업부
GRT,900290,KOSDAQ,외국기업(소속부없음)
석경에이티,357550,KOSDAQ,기술성장기업부
비덴트,121800,KOSDAQ,관리종목(소속부없음)
퀄리타스반도체,432720,KOSDAQ,기술성장기업부
큐에이드,377460,KOSDAQ,관리종목(소속부없음)
스맥,099440,KOSDAQ,중견기업부
SAMG엔터,419530,KOSDAQ,기술성장기업부
인터플렉스,051370,KOSDAQ,우량기업부
에코앤드림,101360,KOSDAQ,벤처기업부
메쥬,0088M0,KOSDAQ,기술성장기업부
한국알콜,017890,KOSDAQ,우량기업부
와이엠티,251370,KOSDAQ,벤처기업부
베뉴지,019010,KOSDAQ,중견기업부
JTC,950170,KOSDAQ,외국기업(소속부없음)
쿠콘,294570,KOSDAQ,우량기업부
소룩스,290690,KOSDAQ,중견기업부
오로스테크놀로지,322310,KOSDAQ,벤처기업부
세보엠이씨,011560,KOSDAQ,우량기업부
디엔에프,092070,KOSDAQ,중견기업부
앤로보틱스,138360,KOSDAQ,벤처기업부
바디텍메드,206640,KOSDAQ,우량기업부
나무가,190510,KOSDAQ,우량기업부
삼미금속,012210,KOSDAQ,중견기업부
대화제약,067080,KOSDAQ,중견기업부
이지바이오,353810,KOSDAQ,우량기업부
케이티알파,036030,KOSDAQ,우량기업부
유니슨,018000,KOSDAQ,중견기업부
아크릴,0007C0,KOSDAQ,기술성장기업부
나이벡,138610,KOSDAQ,기술성장기업부
아이스크림미디어,461300,KOSDAQ,벤처기업부
텔레칩스,054450,KOSDAQ,중견기업부
유비쿼스홀딩스,078070,KOSDAQ,중견기업부
지놈앤컴퍼니,314130,KOSDAQ,기술성장기업부
SG,255220,KOSDAQ,중견기업부
인터로조,119610,KOSDAQ,우량기업부
대아티아이,045390,KOSDAQ,우량기업부
티엑스알로보틱스,484810,KOSDAQ,벤처기업부
엠디바이스,226590,KOSDAQ,기술성장기업부
AP위성,211270,KOSDAQ,우량기업부
대원산업,005710,KOSDAQ,우량기업부
아나패스,123860,KOSDAQ,우량기업부
아이엘,307180,KOSDAQ,벤처기업부
제노코,361390,KOSDAQ,벤처기업부
에스투더블유,488280,KOSDAQ,기술성장기업부
디지털대성,068930,KOSDAQ,우량기업부
케이피항공산업,288180,KOSDAQ,중견기업부
동원개발,013120,KOSDAQ,우량기업부
한국정보인증,053300,KOSDAQ,우량기업부
일진파워,094820,KOSDAQ,우량기업부
범한퓨얼셀,382900,KOSDAQ,벤처기업부
세나테크놀로지,061090,KOSDAQ,중견기업부
윤성에프앤씨,372170,KOSDAQ,우량기업부
BGF에코머티리얼즈,126600,KOSDAQ,우량기업부
솔트룩스,304100,KOSDAQ,기술성장기업부
듀켐바이오,176750,KOSDAQ,기술성장기업부
하이비젼시스템,126700,KOSDAQ,우량기업부
해성산업,034810,KOSDAQ,중견기업부
바이오솔루션,086820,KOSDAQ,기술성장기업부
한국비엔씨,256840,KOSDAQ,우량기업부
폴레드,487580,KOSDAQ,벤처기업부
와이솔,122990,KOSDAQ,중견기업부
대양전기공업,108380,KOSDAQ,우량기업부
엘오티베큠,083310,KOSDAQ,우량기업부
와이제이링크,209640,KOSDAQ,중견기업부
에이유브랜즈,481070,KOSDAQ,중견기업부
헥토이노베이션,214180,KOSDAQ,우량기업부
아스플로,159010,KOSDAQ,벤처기업부
도우인시스,484120,KOSDAQ,중견기업부
서호전기,065710,KOSDAQ,우량기업부
우진엔텍,457550,KOSDAQ,중견기업부
새로닉스,042600,KOSDAQ,중견기업부
루미르,474170,KOSDAQ,기술성장기업부
클리오,237880,KOSDAQ,우량기업부
큐알티,405100,KOSDAQ,중견기업부
에스오에스랩,464080,KOSDAQ,기술성장기업부
SKAI,357880,KOSDAQ,기술성장기업부
어보브반도체,102120,KOSDAQ,벤처기업부
이랜시스,264850,KOSDAQ,중견기업부
코텍,052330,KOSDAQ,우량기업부
흥구석유,024060,KOSDAQ,중견기업부
심텍홀딩스,036710,KOSDAQ,중견기업부
메가터치,446540,KOSDAQ,중견기업부
옵티코어,380540,KOSDAQ,관리종목(소속부없음)
디오,039840,KOSDAQ,중견기업부
지투파워,388050,KOSDAQ,우량기업부
CMG제약,058820,KOSDAQ,중견기업부
지구홀딩스,221800,KOSDAQ,기술성장기업부
나노,187790,KOSDAQ,벤처기업부
